,id,address,categories,city,country,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province,average_price,GDP
609,AVwckHJpByjofQCxfq3y,10880 N 32nd St,"Gluten-free Restaurant and Bakery,Bakeries",Phoenix,US,us/az/phoenix/10880n32ndst/-102623301,33.585795,-112.013289,,6.99,6.99,USD,2016-06-08T16:14:16Z,,Simply Pizza Crust,Gluten Free Creations,85028,USD,25,40,AZ,6.99,38854
610,AVwckHJpByjofQCxfq3y,10880 N 32nd St,"Gluten-free Restaurant and Bakery,Bakeries",Phoenix,US,us/az/phoenix/10880n32ndst/-102623301,33.585795,-112.013289,,5.99,5.99,USD,2016-06-08T16:14:16Z,,Simply Pizza Crust Mix,Gluten Free Creations,85028,USD,25,40,AZ,5.99,38854
611,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Mushrooms, hot peppers, onions, olives, and mozzarella.",Arrabbiatta Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
612,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Ricotta, garlic, and mozzarella.",Broccoli Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
613,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Mozzarella topped with bleu cheese. Comes in hot, medium, BBQ, and garlic Parmesan.",Buffalo Chicken Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
614,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Artichoke, black olives, broccoli, onions, fresh tomatoes, and basil.",Carchiofi Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
615,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,10.75,10.75,USD,2016-05-05T12:36:25Z,,Cheese Pizza,Labella Pizza and Pasta,12065,,,,Elnora,10.75,146826
616,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Chicken alfredo, mushrooms, and mozzarella.",Chicken Alfredo Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
617,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Chunks of chicken, ham, mozzarella, and Parmesan.",Chicken Cordon Bleu Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
618,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Marinara, chicken, ricotta, touch of Parmesan, and mozzarella.",Chicken Cutlet Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
619,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Chicken breast, spinach, onion, fresh tomatoes, garlic, ricotta, and mozzarella (white) .",Chicken Florentine Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
620,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,14.25,14.25,USD,2016-05-05T12:36:25Z,Served with your choice of red or white sauce.,Clam Pizza,Labella Pizza and Pasta,12065,,,,Elnora,14.25,146826
621,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Garlic, marinara, ricotta, and a touch of Parmesan.",Eggplant Parmesan Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
622,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Ricotta, spinach, garlic, fresh tomatoes, and mozzarella (white) .",Florentine Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
623,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Pesto, sausage, mushroom, and garlic.",Genovese Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
624,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,Ham and pineapple (red or white) .,Hawaiian Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
625,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Hot peppers, onions, fresh tomatoes, garlic, olive oil, olives, and mozzarella (red or white) .",Hot Wheel Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
626,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,,Italian Flag Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
627,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Roasted peppers, sausage, pepperoni, and basil.",Italiano Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
628,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Marinara, ground beef, ricotta, mozzarella, and a touch of Parmesan.",Lasagna Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
